Sample in Buffer,Sample in Window,TRIGGER,mipi_phy_inst/lane1_byte_data[7:0],mipi_phy_inst/lane0_byte_data[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX
0,0,0,ff,ff
1,1,0,ff,ff
2,2,0,ff,ff
3,3,0,ff,ff
4,4,0,0,0f
5,5,0,0,0
6,6,0,0,0
7,7,0,0,0
8,8,0,0,0
9,9,0,0,0
10,10,0,ff,e0
11,11,0,3f,ff
12,12,0,0,3
13,13,0,0,0
14,14,0,0,0
15,15,0,0,0
16,16,0,0,0
17,17,0,ae,e0
18,18,0,68,0e
19,19,0,c5,0
20,20,0,ff,fc
21,21,0,ff,ff
22,22,0,ff,ff
23,23,0,ff,ff
24,24,0,ff,fd
25,25,0,ff,ff
26,26,0,ff,ff
27,27,0,ff,ff
28,28,0,ff,ff
29,29,0,ff,ff
30,30,0,ff,ff
31,31,0,ff,ff
32,32,0,ff,ff
33,33,0,ff,ff
34,34,0,ff,ff
35,35,0,ff,ff
36,36,0,ff,ff
37,37,0,ff,ff
38,38,0,ff,ff
39,39,0,ff,ff
40,40,0,ff,ff
41,41,0,ff,ff
42,42,0,ff,ff
43,43,0,ff,ff
44,44,0,ff,ff
45,45,0,ff,ff
46,46,0,ff,ff
47,47,0,ff,ff
48,48,0,ff,ff
49,49,0,ff,ff
50,50,0,ff,ff
51,51,0,ff,ff
52,52,0,ff,ff
53,53,0,ff,ff
54,54,0,ff,ff
55,55,0,ff,ff
56,56,0,ff,ff
57,57,0,ff,ff
58,58,0,ff,ff
59,59,0,ff,ff
60,60,0,ff,ff
61,61,0,ff,ff
62,62,0,ff,ff
63,63,0,ff,ff
64,64,0,ff,ff
65,65,0,ff,ff
66,66,0,ff,ff
67,67,0,ff,ff
68,68,0,ff,ff
69,69,0,ff,ff
70,70,0,ff,ff
71,71,0,ff,ff
72,72,0,ff,ff
73,73,0,ff,ff
74,74,0,ff,ff
75,75,0,ff,ff
76,76,0,ff,ff
77,77,0,ff,ff
78,78,0,ff,ff
79,79,0,ff,ff
80,80,0,ff,ff
81,81,0,ff,ff
82,82,0,ff,ff
83,83,0,ff,ff
84,84,0,ff,ff
85,85,0,ff,ff
86,86,0,ff,ff
87,87,0,ff,ff
88,88,0,ff,ff
89,89,0,ff,ff
90,90,0,ff,ff
91,91,0,ff,ff
